UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight
1676984639.0149524,11045,BlankScreen1,2023-02-21 18:33:59.014952,610.0,656.0,559.0,668.0,-1.0,-1.0,92014.594,635.2837524414064,632.63818359375,0.5578565597534179,0.5204488039016723,0.4136768877506256,0.5157038569450378,0.0,0.0
1676984639.0232184,11046,BlankScreen1,2023-02-21 18:33:59.023218,664.0,594.0,620.0,606.0,-1.0,-1.0,92022.85899999995,635.289794921875,632.6718139648438,0.5576286911964417,0.5201520919799804,0.4135316312313079,0.5154367685317993,0.0,0.0
1676984639.031562,11047,BlankScreen1,2023-02-21 18:33:59.031562,-1.0,-1.0,684.0,567.0,-1.0,3.1391754150390625,92031.20200000002,-1.0,632.7199096679688,-1.0,-1.0,0.4133917987346649,0.5151857733726501,4.0,0.0
1676984639.0398707,11048,BlankScreen1,2023-02-21 18:33:59.039871,733.0,430.0,741.0,535.0,-1.0,-1.0,92039.51099999998,634.9805297851562,632.8566284179688,0.5574040412902832,0.5199863910675048,0.4133362472057342,0.5152663588523864,0.0,0.0
1676984639.0482965,11049,BlankScreen1,2023-02-21 18:33:59.048296,733.0,454.0,743.0,553.0,-1.0,-1.0,92047.937,634.9476318359375,632.9507446289064,0.5576258897781372,0.5199663043022155,0.4134818613529205,0.5152620077133178,0.0,0.0
1676984639.0565965,11050,BlankScreen1,2023-02-21 18:33:59.056597,-1.0,-1.0,727.0,530.0,-1.0,3.051849365234375,92056.23799999998,-1.0,633.029052734375,-1.0,-1.0,0.413520872592926,0.5152437090873718,4.0,0.0
1676984639.0648878,11051,BlankScreen1,2023-02-21 18:33:59.064888,757.0,493.0,727.0,508.0,-1.0,-1.0,92064.52799999996,634.8439331054688,633.0120849609375,0.5576491355895996,0.5199717283248901,0.4135107100009918,0.5151793360710144,0.0,0.0
1676984639.0732126,11052,BlankScreen1,2023-02-21 18:33:59.073213,770.0,483.0,749.0,453.0,-1.0,-1.0,92072.85299999996,634.7771606445312,633.06591796875,0.5578043460845947,0.5199391841888427,0.4136736392974853,0.5152181982994078,0.0,0.0
1676984639.0815294,11053,BlankScreen1,2023-02-21 18:33:59.081529,-1.0,-1.0,750.0,478.0,-1.0,3.019378662109375,92081.171,-1.0,633.087890625,-1.0,-1.0,0.4136783480644226,0.5151826739311218,4.0,0.0
1676984639.0899448,11054,BlankScreen1,2023-02-21 18:33:59.089945,781.0,476.0,747.0,483.0,-1.0,-1.0,92089.58599999998,634.6209716796875,633.0154418945312,0.5578652620315551,0.5199883580207824,0.4136810600757598,0.5151424407958984,0.0,0.0
1676984639.0982025,11055,BlankScreen1,2023-02-21 18:33:59.098202,752.0,484.0,746.0,461.0,-1.0,-1.0,92097.844,634.5662841796875,633.0238037109375,0.5580204725265502,0.5199075937271118,0.4138455390930175,0.515114426612854,0.0,0.0
1676984639.1065297,11056,BlankScreen1,2023-02-21 18:33:59.106530,760.0,467.0,739.0,482.0,2.97015380859375,3.0697479248046875,92106.17,634.5553588867188,633.0354614257812,0.5581060647964478,0.5199884176254272,0.4138814806938171,0.5151035785675048,0.0,0.0
1676984639.1148975,11057,BlankScreen1,2023-02-21 18:33:59.114897,751.0,458.0,737.0,477.0,-1.0,-1.0,92114.53900000002,634.4856567382812,632.9588623046875,0.5581251978874207,0.5199531316757202,0.4139050841331481,0.5150465369224548,0.0,0.0
1676984639.1231966,11058,BlankScreen1,2023-02-21 18:33:59.123197,768.0,452.0,720.0,464.0,-1.0,-1.0,92122.838,634.507080078125,632.96630859375,0.5583070516586303,0.5199717283248901,0.4141024351119995,0.5150630474090576,0.0,0.0
1676984639.131593,11059,BlankScreen1,2023-02-21 18:33:59.131593,764.0,461.0,713.0,470.0,3.10137939453125,3.044281005859375,92131.23299999996,634.5004272460938,632.970947265625,0.5585212707519531,0.5199639201164244,0.4143031537532806,0.5149762034416198,0.0,0.0
1676984639.139939,11060,BlankScreen1,2023-02-21 18:33:59.139939,696.0,487.0,708.0,470.0,-1.0,-1.0,92139.58099999996,634.4471435546875,632.8676147460938,0.5588459372520446,0.5199427008628845,0.4146997332572937,0.5148615837097168,0.0,0.0
1676984639.1482868,11061,BlankScreen1,2023-02-21 18:33:59.148287,635.0,470.0,610.0,468.0,-1.0,-1.0,92147.928,634.5027465820312,632.8365478515625,0.5591799020767211,0.5199241638183593,0.4150533080101013,0.5149240493774414,0.0,0.0
1676984639.156536,11062,BlankScreen1,2023-02-21 18:33:59.156536,554.0,440.0,579.0,511.0,2.9051971435546875,3.10784912109375,92156.16799999996,634.5665283203125,632.8145751953125,0.5592440366744995,0.5199382305145263,0.4151124656200408,0.514839231967926,0.0,0.0
1676984639.1648822,11063,BlankScreen1,2023-02-21 18:33:59.164882,566.0,453.0,568.0,479.0,-1.0,-1.0,92164.524,634.5833129882812,632.700439453125,0.5592291355133056,0.5199700593948364,0.4150965809822082,0.5148379802703857,0.0,0.0
1676984639.1731894,11064,BlankScreen1,2023-02-21 18:33:59.173189,576.0,457.0,577.0,474.0,-1.0,-1.0,92172.83099999996,634.7052001953125,632.6798095703125,0.5593805909156799,0.5199190974235534,0.4152223467826843,0.5148173570632933,0.0,0.0
