slider.response,TD_slider.response,P_slider.response,E_slider.response,F_slider.response,mouse_NSTLX.time
4.0,4.0,4.0,4.0,4.0,31.776465600007214
4.0,4.0,5.0,4.0,4.0,55.65055919997394
4.0,5.0,4.0,4.0,4.0,11.686150799971074
