Row,Timestamp,Combined Event Source,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,InputEventSource,Data,StimType.1,CPU Sys,Memory Sys,CPU Proc,Memory Proc,Event Group,Event Label,Event Text,Event Index,Category 1 active on ScreenRecording-1,Category 1 instance on ScreenRecording-1,CatI_tem1 active on ScreenRecording-1,CatI_tem1 instance on ScreenRecording-1
1,16,SlideEvents,StartSlide,TestImage,3000000.0,StimuliDisplay,ScreenRecording-1,,,,,,,,,,,,,,,
2,218,SlideEvents,StartMedia,TestImage,3000000.0,StimuliDisplay,ScreenRecording-1,,,,,,,,,,,,,,,
3,244,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,16.7879734039307,50.6642312127751,7.3130316734314,731.69140625,,,,,,,,
4,1282,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,17.7264251708984,51.0233726547231,9.40446376800537,788.48046875,,,,,,,,
5,1613,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:960;Y:540,TestImage,,,,,,,,,,,,
6,1637,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:667;Y:305,TestImage,,,,,,,,,,,,
7,1662,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:335;Y:36,TestImage,,,,,,,,,,,,
8,1686,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:270;Y:-27,TestImage,,,,,,,,,,,,
9,1710,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:317;Y:-25,TestImage,,,,,,,,,,,,
10,1734,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:502;Y:-14,TestImage,,,,,,,,,,,,
11,1758,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:789;Y:-16,TestImage,,,,,,,,,,,,
12,1782,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1109;Y:-18,TestImage,,,,,,,,,,,,
13,1805,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1375;Y:-25,TestImage,,,,,,,,,,,,
14,1830,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1543;Y:-26,TestImage,,,,,,,,,,,,
15,1854,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1584;Y:-8,TestImage,,,,,,,,,,,,
16,1878,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1586;Y:-4,TestImage,,,,,,,,,,,,
17,1902,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1570;Y:-3,TestImage,,,,,,,,,,,,
18,1926,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1512;Y:0,TestImage,,,,,,,,,,,,
19,1950,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1466;Y:0,TestImage,,,,,,,,,,,,
20,1974,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1453;Y:0,TestImage,,,,,,,,,,,,
21,1998,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1439;Y:-1,TestImage,,,,,,,,,,,,
