timestamp,EEG_UnixTime,EEG_QuestionKey,EEG_Delta_TP9,EEG_Delta_AF7,EEG_Delta_AF8,EEG_Delta_TP10,EEG_Theta_TP9,EEG_Theta_AF7,EEG_Theta_AF8,EEG_Theta_TP10,EEG_Alpha_TP9,EEG_Alpha_AF7,EEG_Alpha_AF8,EEG_Alpha_TP10,EEG_Beta_TP9,EEG_Beta_AF7,EEG_Beta_AF8,EEG_Beta_TP10,EEG_Gamma_TP9,EEG_Gamma_AF7,EEG_Gamma_AF8,EEG_Gamma_TP10,EEG_RAW_TP9,EEG_RAW_AF7,EEG_RAW_AF8,EEG_RAW_TP10,EEG_AUX_RIGHT,EEG_Accelerometer_X,EEG_Accelerometer_Y,EEG_Accelerometer_Z,EEG_Gyro_X,EEG_Gyro_Y,EEG_Gyro_Z,EEG_HeadBandOn,EEG_HSI_TP9,EEG_HSI_AF7,EEG_HSI_AF8,EEG_HSI_TP10,EEG_Battery,EEG_Elements,GSR_UnixTime,GSR_Row,GSR_QuestionKey,GSR_Timestamp,GSR_SampleNumber,GSR_Timestamp RAW,GSR_Timestamp CAL,GSR_System Timestamp CAL,GSR_VSenseBatt RAW,GSR_VSenseBatt CAL,GSR_GSR RAW,GSR_GSR Resistance CAL,GSR_GSR Conductance CAL,GSR_Packet reception rate RAW,EYE_UnixTime,EYE_Row,EYE_QuestionKey,EYE_Timestamp,EYE_ET_GazeLeftx,EYE_ET_GazeLefty,EYE_ET_GazeRightx,EYE_ET_GazeRighty,EYE_ET_PupilLeft,EYE_ET_PupilRight,EYE_ET_TimeSignal,EYE_ET_DistanceLeft,EYE_ET_DistanceRight,EYE_ET_CameraLeftX,EYE_ET_CameraLeftY,EYE_ET_CameraRightX,EYE_ET_CameraRightY,EYE_ET_ValidityLeft,EYE_ET_ValidityRight,IVT_UnixTime,IVT_Row,IVT_QuestionKey,IVT_Timestamp,IVT_Gaze X,IVT_Gaze Y,IVT_Interpolated Gaze X,IVT_Interpolated Gaze Y,IVT_Interpolated Distance,IVT_Gaze Velocity,IVT_Gaze Acceleration,IVT_Fixation Index,IVT_Fixation Index by Stimulus,IVT_Fixation X,IVT_Fixation Y,IVT_Fixation Start,IVT_Fixation End,IVT_Fixation Duration,IVT_Fixation Dispersion,IVT_Saccade Index,IVT_Saccade Index by Stimulus,IVT_Saccade Start,IVT_Saccade End,IVT_Saccade Duration,IVT_Saccade Amplitude,IVT_Saccade Peak Velocity,IVT_Saccade Peak Acceleration,IVT_Saccade Peak Deceleration,IVT_Saccade Direction,engagement
0,-1.6230381419107172,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,0.3609085704159019,-0.8122294566790345,0.26151867442814314,-0.35163125976128007,-2.3245286814608113,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.72097642798419,-1.7285901631375231,,2023-02-21 18:32:27.016032,,,,,,,,,,,-1.7169925129921235,-1.7285901631375231,,2023-02-21 18:32:27.016032,,,,,,,,,,,,,,,,-1.7169925129921235,-1.7285901631375231,,2023-02-21 18:32:27.016032,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
1,-1.618477219489668,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,1.4817376693984714,0.11579380171173778,-0.003176820808726322,0.06782166935522065,-0.6114150462100059,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.7161802739489922,-1.7216619460507996,,2023-02-21 18:32:27.021437,-1.7285762788791843,-1.7285762788791843,-1.7285762788791843,-1.7285762785511467,1.3237344144922212,1.3237344144922152,-1.0015230925041503,1.0053436244397613,-1.0015230925041785,0.0,-1.7161873883285772,-1.7216619460507996,,2023-02-21 18:32:27.017000,0.41914491759271166,1.0738202376305233,0.22955818208035783,1.0495006693764564,-0.6431812388064982,-0.6527787740433069,-1.7286027091666356,0.22575052945756077,0.18888657675328607,0.21542595136145,0.2437799374707032,0.20216051729250498,0.24906275507119766,-0.24407881531404235,-0.23470139701908863,-1.7161873883285772,-1.7216619460507996,,2023-02-21 18:32:27.017000,0.22584171206864434,1.09905908149697,0.22623247450645143,1.1033757407701261,-1.508028738914623,,,,,,,,,,,,,,,,,,,,,0.5075541337160415
2,-1.6139168407475342,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,0.7345185078283227,0.5513963637982213,-0.040992473992808476,-0.3957844015239958,-0.41433097355889215,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.709247747463533,-1.714733728964076,,2023-02-21 18:32:27.029250,-1.7216202375154852,-1.7216202375154852,-1.7216202375154854,-1.7216200198124754,-1.5247459366929237,-1.5247459366928633,-0.9763192671432385,0.9785093897492088,-0.9763192671432702,0.0,-1.7092602218774733,-1.714733728964076,,2023-02-21 18:32:27.025326,0.32636128921713936,1.015985152190529,0.27958494200345063,0.9672431956047471,-0.6431812388064982,-0.6527787740433069,-1.7216530659715166,0.22870421670231778,0.19014185421331506,0.21570343436981237,0.24365493318142056,0.20241644893747723,0.24888244300595758,-0.24407881531404235,-0.23470139701908863,-1.7092602218774733,-1.714733728964076,,2023-02-21 18:32:27.025326,0.19962438785878492,1.0151610800602833,0.19997960299872197,1.01912986376084,-1.4065312096669402,,,,,,,,,,,,,,,,,,,,,0.5151034769375086
3,-1.6116361076975518,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,-0.9898360370431714,-0.6228372427446979,-0.7216413848522932,-1.4333698095425018,-0.9601008334925558,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.7023152209780739,-1.7078055118773525,,2023-02-21 18:32:27.037062,-1.7146641961517863,-1.7146641961517863,-1.7146641961517863,-1.714664195826389,-0.4396105648128686,-0.43961056481284144,-0.9763192671432385,0.9785093897492088,-0.9763192671432702,0.0,-1.702292194209151,-1.7078055118773525,,2023-02-21 18:32:27.033702,-2.3759618872214046,-2.357728165142472,-2.3894898374227362,-2.4496057149124035,-0.6431812388064982,-0.6527787740433069,-1.7146608483856711,-4.096352482121358,-4.259641967018584,-4.096586950046411,-4.096982053906726,-4.260088934879231,-4.260548335679354,4.097037257057139,4.260733053577302,-1.702292194209151,-1.7078055118773525,,2023-02-21 18:32:27.033702,,,,,,,,,,,,,,,,,,,,,,,,,,0.5226432422077446
4,-1.6070751852765028,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,0.15973080651907454,-1.4561620439807492,-0.38131458324727013,-0.04256255478683152,-1.0207412183442781,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.6953826944926147,-1.700877294790629,,2023-02-21 18:32:27.044875,-1.7077081547880875,-1.7077081547880875,-1.7077081547880875,-1.7077081544640103,-2.0673136226329514,-2.067313622633001,-0.9511154417823268,0.9517167424041596,-0.9511154417823574,0.0,-1.695370978420749,-1.700877294790629,,2023-02-21 18:32:27.042021,0.4104464524325018,1.3115866999949444,0.3266689513428321,1.182378127007679,-0.6431812388064982,-0.6527787740433069,-1.707715379150433,0.23258407408926973,0.19191413723901446,0.21556596106950854,0.2438064069581876,0.20240485957996923,0.24893350794630845,-0.24407881531404235,-0.23470139701908863,-1.695370978420749,-1.700877294790629,,2023-02-21 18:32:27.042021,0.2782763604883632,1.3202447216482351,0.27873821752191036,1.3254785074309718,-1.2703219683734066,,,,,,,,,,,,,,,,,,,,,0.5301686481440023
5,-1.604794995905436,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,0.44712679693776536,0.41882228408169514,-0.41912929796123144,0.708030445191535,-1.0055820627590195,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.6884501680071555,-1.6939490777039055,,2023-02-21 18:32:27.052687,-1.7007521134243886,-1.7007521134243886,-1.7007521134243886,-1.7007521131016314,0.7811667285521936,0.7811667285522043,-1.0015230925041503,1.0053436244397613,-1.0015230925041785,0.0,-1.6884390514394838,-1.6939490777039055,,2023-02-21 18:32:27.050353,0.5525213833825969,0.9902806697727538,0.32078345017540943,0.9925531875345038,-0.6431812388064982,-0.6527787740433069,-1.7007607272034906,0.23410708195549595,0.19330673757618655,0.2159191981228108,0.2437514187325745,0.20267701632545274,0.2487746783732161,-0.24407881531404235,-0.23470139701908863,-1.6884390514394838,-1.6939490777039055,,2023-02-21 18:32:27.050353,0.36042397634592277,1.0151610800602833,0.2851555861126876,1.285908474290244,-1.2005562594179187,-0.6548242883664869,,,,,,,,,,,,,,,,,,,,0.5376749224695836
6,-1.600234617163302,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-3.4847741169248723,0.5507546690042376,-0.81899407153111,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,-0.27135604656207674,-0.7175328796743545,-0.7216413848522932,0.22235355631899906,0.08595840961044875,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.6815176415216964,-1.687020860617182,,2023-02-21 18:32:27.060500,-1.6937960720606895,-1.6937960720606895,-1.6937960720606897,-1.6937958543629599,-1.25346209372291,-1.2534620937229426,-0.9763192671432385,0.9785093897492088,-0.9763192671432702,0.0,-1.6815323155969892,-1.687020860617182,,2023-02-21 18:32:27.058655,-2.3759618872214046,-2.357728165142472,0.32961170192654343,1.3279105806037796,-0.6431812388064982,1.3595093198031025,-1.6938302842237942,-4.096352482121358,0.19460592391856224,-4.096586950046411,-4.096982053906726,0.20257300184181704,0.2488977624880626,4.097037257057139,-0.23470139701908863,-1.6815323155969892,-1.687020860617182,,2023-02-21 18:32:27.058655,0.21535478238470057,1.5071084521208558,0.27582123179883034,1.343348844978394,-2.771170624675959,0.514888903989237,1.95743098882336,,,,,,,,,-2.2189484440888414,,-2.4528613026715322,-2.46799510978132,-2.362307723083232,,-1.5212524810987595,-0.7101493108912543,,,0.545157305040204
7,-1.577431092415887,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-2.6512498071333717,0.5507546690042376,-0.44499425773891155,-0.6663588926044096,-2.7969856134747837,-2.346692875660108,0.8119332508055908,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,-0.27135604656207674,-0.7175328796743545,-0.7216413848522932,0.22235355631899906,0.08595840961044875,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.6745851150362372,-1.6800926435304584,,2023-02-21 18:32:27.068312,-1.6868400306969906,-1.6868400306969906,-1.6868400306969906,-1.6868400303768736,0.23859904261216594,0.23859904261219336,-0.9763192671432385,0.9785093897492088,-0.9763192671432702,0.0,-1.6745498079827592,-1.6800926435304584,,2023-02-21 18:32:27.067048,-2.3759618872214046,-2.357728165142472,0.35903920776365683,1.3152555846389014,-0.6431812388064982,-0.6527787740433069,-1.6868247099663398,-4.096352482121358,0.19542039063816954,-4.096586950046411,-4.096982053906726,0.20280247112047878,0.24878277832927215,4.097037257057139,-0.23470139701908863,-1.6745498079827592,-1.6800926435304584,,2023-02-21 18:32:27.067048,0.25031121466451317,1.4918542700414583,0.22623247450645143,1.5131170516789274,-2.733076332801974,0.37190074156874997,-0.23431725817801818,,,,,,,,,,,,,,,,,,,0.5526110508626643
8,-1.5728701699948378,,-3.093142999980438,-1.4299398829035779,-1.921810889000882,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-2.6512498071333717,0.5507546690042376,-0.44499425773891155,-0.6663588926044096,-2.1163142293174326,-2.346692875660108,0.9313477423206643,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,-0.27135604656207674,-0.7175328796743545,-0.7216413848522932,0.22235355631899906,0.08595840961044875,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.667652588550778,-1.6731644264437349,,2023-02-21 18:32:27.076125,-1.6798839893332917,-1.6798839893332917,-1.6798839893332917,-1.6798839890144948,0.9168086500372005,0.9168086500372282,-1.026726917865062,1.0322195433783885,-1.0267269178650957,0.0,-1.6676502129355069,-1.6731644264437349,,2023-02-21 18:32:27.075341,-2.3759618872214046,-2.357728165142472,0.3266689513428321,1.3405655765686582,-0.6431812388064982,-0.6527787740433069,-1.679900945322472,-4.096352482121358,0.19701574669676605,-4.096586950046411,-4.096982053906726,0.2029729312538282,0.24859330979196909,4.097037257057139,-0.23470139701908863,-1.6676502129355069,-1.6731644264437349,,2023-02-21 18:32:27.075341,0.2118591391567193,1.5223626342002534,0.2122309430356624,1.5284344838624342,-2.6584582325454877,,,,,,,,,,,,,,,,,,,,,0.5600314331039133
9,-1.5705899806237709,,-2.5756789545335024,-1.4299398829035779,-2.078731795388999,-0.9638836832325871,-3.088501003208348,-1.2232496140879856,-2.521035524159278,-0.9535384529546841,-2.6512498071333717,0.5507546690042376,-0.44499425773891155,-0.6663588926044096,-2.1163142293174326,-2.346692875660108,0.9313477423206643,0.24045517205265265,-1.3020846100456525,-1.4963500757301602,1.116556751879566,-0.45339975700726576,-0.27135604656207674,-0.7175328796743545,-0.7216413848522932,0.22235355631899906,0.08595840961044875,-2.4417984825908086,-0.15126199043621605,-2.0553400118733167,-1.8803869699744071,-0.296595091814163,3.033637658354232,0.0,0.0,0.0,0.0,0.0,0.0,,-1.6607200620653189,-1.6662362093570113,,2023-02-21 18:32:27.083937,-1.6729279479695929,-1.6729279479695929,-1.6729279479695929,-1.672927947652116,1.7306601789472418,1.7306601789472869,-1.026726917865062,1.0322195433783885,-1.0267269178650957,0.0,-1.6606540187970629,-1.6662362093570113,,2023-02-21 18:32:27.083750,-2.3759618872214046,-2.357728165142472,-2.3894898374227362,-2.4496057149124035,-0.6431812388064982,-0.6527787740433069,-1.6728811796014182,-4.096352482121358,-4.259641967018584,-4.096586950046411,-4.096982053906726,-4.260088934879231,-4.260548335679354,4.097037257057139,4.260733053577302,-1.6606540187970629,-1.6662362093570113,,2023-02-21 18:32:27.083750,,,,,,,,,,,,,,,,,,,,,,,,,,0.5674137460885946
