Row,Timestamp,Combined Event Source,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,InputEventSource,Data,StimType.1,CPU Sys,Memory Sys,CPU Proc,Memory Proc,Event Group,Event Label,Event Text,Event Index,Category 1 active on ScreenRecording-1,Category 1 instance on ScreenRecording-1,CatI_tem1 active on ScreenRecording-1,CatI_tem1 instance on ScreenRecording-1
1551,286014,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:618;Y:551,TestImage,,,,,,,,,,,,
1552,286039,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:643;Y:544,TestImage,,,,,,,,,,,,
1553,286062,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:666;Y:541,TestImage,,,,,,,,,,,,
1554,286086,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:692;Y:538,TestImage,,,,,,,,,,,,
1555,286109,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:717;Y:538,TestImage,,,,,,,,,,,,
1556,286133,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:735;Y:538,TestImage,,,,,,,,,,,,
1557,286157,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:749;Y:538,TestImage,,,,,,,,,,,,
1558,286182,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:764;Y:538,TestImage,,,,,,,,,,,,
1559,286206,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:775;Y:538,TestImage,,,,,,,,,,,,
1560,286230,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:786;Y:538,TestImage,,,,,,,,,,,,
1561,286253,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:798;Y:538,TestImage,,,,,,,,,,,,
1562,286278,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:805;Y:538,TestImage,,,,,,,,,,,,
1563,286302,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:814;Y:538,TestImage,,,,,,,,,,,,
1564,286326,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:818;Y:538,TestImage,,,,,,,,,,,,
1565,286349,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:828;Y:541,TestImage,,,,,,,,,,,,
1566,286374,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:840;Y:544,TestImage,,,,,,,,,,,,
1567,286404,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:856;Y:549,TestImage,,,,,,,,,,,,
1568,286430,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:875;Y:553,TestImage,,,,,,,,,,,,
1569,286454,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:887;Y:557,TestImage,,,,,,,,,,,,
1570,286478,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:899;Y:559,TestImage,,,,,,,,,,,,
1571,286509,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:919;Y:564,TestImage,,,,,,,,,,,,
1572,286534,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:938;Y:568,TestImage,,,,,,,,,,,,
1573,286558,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:948;Y:571,TestImage,,,,,,,,,,,,
1574,286581,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:956;Y:573,TestImage,,,,,,,,,,,,
1575,286605,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:960;Y:574,TestImage,,,,,,,,,,,,
1576,286630,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:964;Y:575,TestImage,,,,,,,,,,,,
1577,286653,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:975;Y:576,TestImage,,,,,,,,,,,,
1578,286678,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:982;Y:578,TestImage,,,,,,,,,,,,
1579,286702,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:986;Y:579,TestImage,,,,,,,,,,,,
1580,286726,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:989;Y:580,TestImage,,,,,,,,,,,,
1581,286750,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:997;Y:580,TestImage,,,,,,,,,,,,
1582,286774,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1010;Y:583,TestImage,,,,,,,,,,,,
1583,286798,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1021;Y:583,TestImage,,,,,,,,,,,,
1584,286822,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1028;Y:584,TestImage,,,,,,,,,,,,
1585,286846,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1034;Y:584,TestImage,,,,,,,,,,,,
1586,286870,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1042;Y:584,TestImage,,,,,,,,,,,,
1587,286894,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1050;Y:584,TestImage,,,,,,,,,,,,
1588,286909,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,8.0420093536377,59.3743376762795,2.07652378082275,1847.69140625,,,,,,,,
1589,286918,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1060;Y:584,TestImage,,,,,,,,,,,,
1590,286941,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1068;Y:583,TestImage,,,,,,,,,,,,
1591,286966,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1073;Y:582,TestImage,,,,,,,,,,,,
1592,286986,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1075;Y:582,TestImage,,,,,,,,,,,,
1593,287014,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1083;Y:581,TestImage,,,,,,,,,,,,
1594,287038,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1088;Y:579,TestImage,,,,,,,,,,,,
1595,287061,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1091;Y:579,TestImage,,,,,,,,,,,,
1596,287098,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1096;Y:577,TestImage,,,,,,,,,,,,
1597,287118,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1102;Y:575,TestImage,,,,,,,,,,,,
1598,287142,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1106;Y:574,TestImage,,,,,,,,,,,,
1599,287166,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1106;Y:574,TestImage,,,,,,,,,,,,
1600,287223,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1108;Y:572,TestImage,,,,,,,,,,,,
1601,287253,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1109;Y:572,TestImage,,,,,,,,,,,,
1602,287277,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1110;Y:572,TestImage,,,,,,,,,,,,
1603,287309,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1111;Y:571,TestImage,,,,,,,,,,,,
1604,287343,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1115;Y:570,TestImage,,,,,,,,,,,,
1605,287365,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1118;Y:570,TestImage,,,,,,,,,,,,
1606,287398,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1120;Y:569,TestImage,,,,,,,,,,,,
1607,287421,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1123;Y:569,TestImage,,,,,,,,,,,,
1608,287446,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1132;Y:568,TestImage,,,,,,,,,,,,
1609,287469,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1145;Y:566,TestImage,,,,,,,,,,,,
1610,287505,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1152;Y:565,TestImage,,,,,,,,,,,,
1611,287525,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1167;Y:563,TestImage,,,,,,,,,,,,
1612,287550,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1177;Y:563,TestImage,,,,,,,,,,,,
1613,287573,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1184;Y:563,TestImage,,,,,,,,,,,,
1614,287598,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1191;Y:563,TestImage,,,,,,,,,,,,
1615,287710,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1193;Y:562,TestImage,,,,,,,,,,,,
1616,287742,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1194;Y:562,TestImage,,,,,,,,,,,,
1617,287766,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1195;Y:564,TestImage,,,,,,,,,,,,
1618,287789,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1195;Y:569,TestImage,,,,,,,,,,,,
1619,287814,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1195;Y:574,TestImage,,,,,,,,,,,,
1620,287836,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1195;Y:575,TestImage,,,,,,,,,,,,
1621,287870,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1195;Y:580,TestImage,,,,,,,,,,,,
1622,287894,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1194;Y:584,TestImage,,,,,,,,,,,,
1623,287918,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1190;Y:590,TestImage,,,,,,,,,,,,
1624,287930,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,7.77320575714111,59.6999799198587,1.53063893318176,1888.953125,,,,,,,,
1625,287950,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1190;Y:592,TestImage,,,,,,,,,,,,
1626,287974,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1188;Y:596,TestImage,,,,,,,,,,,,
1627,287998,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1187;Y:598,TestImage,,,,,,,,,,,,
1628,288022,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1185;Y:601,TestImage,,,,,,,,,,,,
1629,288045,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1182;Y:608,TestImage,,,,,,,,,,,,
1630,288066,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1182;Y:609,TestImage,,,,,,,,,,,,
1631,288093,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1177;Y:619,TestImage,,,,,,,,,,,,
1632,288118,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1176;Y:621,TestImage,,,,,,,,,,,,
1633,288142,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1174;Y:624,TestImage,,,,,,,,,,,,
1634,288177,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1173;Y:625,TestImage,,,,,,,,,,,,
1635,288198,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1172;Y:627,TestImage,,,,,,,,,,,,
1636,288230,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1172;Y:627,TestImage,,,,,,,,,,,,
1637,288262,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1170;Y:629,TestImage,,,,,,,,,,,,
1638,288303,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1168;Y:630,TestImage,,,,,,,,,,,,
1639,288326,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1165;Y:631,TestImage,,,,,,,,,,,,
1640,288350,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1164;Y:631,TestImage,,,,,,,,,,,,
1641,288382,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1162;Y:631,TestImage,,,,,,,,,,,,
1642,288418,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1161;Y:631,TestImage,,,,,,,,,,,,
1643,288750,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1160;Y:631,TestImage,,,,,,,,,,,,
1644,288821,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1159;Y:631,TestImage,,,,,,,,,,,,
1645,288854,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1158;Y:631,TestImage,,,,,,,,,,,,
1646,288974,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,9.0291109085083,58.2011148475084,1.96494221687317,1932.98046875,,,,,,,,
