feature,importance
EEG_Theta_AF8_kurtosis,0.0
EEG_Theta_AF8_q25,0.0
EEG_Delta_TP9_median,0.0
EEG_Theta_TP10_mean,0.0
EEG_Theta_TP10_min,0.0
EEG_Theta_TP10_max,0.0
EEG_Theta_TP10_range,0.0
EEG_Theta_TP10_median,0.0
EEG_Theta_AF7_median,0.0
EEG_Theta_AF7_range,0.0
EEG_Theta_AF7_max,0.0
EEG_Theta_TP9_min,0.0
EEG_Delta_TP10_range,0.0
EEG_Delta_TP10_median,0.0
EEG_Delta_TP10_kurtosis,0.0
EEG_Delta_TP10_q25,0.0
EEG_Delta_TP10_q75,0.0
EEG_Theta_TP9_mean,0.0
EEG_Theta_TP9_max,0.0
EEG_Theta_AF7_mean,0.0
EEG_Theta_TP9_range,0.0
EEG_Theta_TP9_median,0.0
EEG_Theta_TP9_skew,0.0
EEG_Theta_TP9_kurtosis,0.0
EEG_Theta_TP9_q25,0.0
EEG_Theta_TP9_q75,0.0
EEG_Theta_TP10_skew,0.0
EEG_Theta_TP10_q25,0.0
EEG_Alpha_TP10_range,0.0
EEG_Theta_TP10_q75,0.0
EEG_Alpha_AF7_q25,0.0
EEG_Alpha_AF7_q75,0.0
EEG_Alpha_AF8_std,0.0
EEG_Alpha_AF8_min,0.0
EEG_Alpha_AF8_max,0.0
EEG_Alpha_AF8_range,0.0
EEG_Alpha_AF8_median,0.0
EEG_Alpha_AF8_skew,0.0
EEG_Alpha_AF8_kurtosis,0.0
EEG_Alpha_AF8_q25,0.0
EEG_Alpha_AF8_q75,0.0
EEG_Alpha_TP10_mean,0.0
EEG_Delta_TP10_max,0.0
EEG_Alpha_TP10_min,0.0
EEG_Alpha_TP10_max,0.0
EEG_Alpha_AF7_kurtosis,0.0
EEG_Alpha_AF7_skew,0.0
EEG_Alpha_AF7_median,0.0
EEG_Alpha_TP9_skew,0.0
EEG_Alpha_TP9_mean,0.0
EEG_Delta_AF8_q75,0.0
EEG_Alpha_TP9_min,0.0
EEG_Alpha_TP9_max,0.0
EEG_Alpha_TP9_range,0.0
EEG_Alpha_TP9_median,0.0
EEG_Alpha_TP9_kurtosis,0.0
EEG_Alpha_AF7_range,0.0
EEG_Alpha_TP9_q25,0.0
EEG_Alpha_TP9_q75,0.0
EEG_Delta_AF8_q25,0.0
EEG_Delta_AF8_kurtosis,0.0
EEG_Alpha_AF7_min,0.0
EEG_Delta_AF8_skew,0.0
EEG_Gamma_AF8_q75,0.0
